sample_no,sample_frame,audit_class,audit_reason,region,sgg_code,sgg_name,umd_name,jibun,deal_date,building_type,building_use,building_area_m2,plottage_area_m2,floor,deal_amount_10k_krw,area_bin,document_id
78,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",인천,28275,서해구,심곡동,2**,2025-04-11,일반,제2종근린생활,1935.36,641.2,,410000,D_1000_2000,21d523cfd49a5715920623e4c76428fb
79,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",경기,41115,수원시 팔달구,인계동,1***,2025-10-21,일반,숙박,1567.86,372.1,,340000,D_1000_2000,0e3d9dcb775b5c9cb439672168820e5a
80,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",경기,41370,오산시,오산동,8**,2025-10-30,일반,기타,3114.01,1731.8,,1350000,E_2000_3300,521cf164772858c5afdcea554975e685
81,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11170,용산구,동자동,45,2025-05-16,집합,업무,1244.99,,8,2292977,D_1000_2000,a498e909c71258158bf63fa98451f1fe
82,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11110,종로구,창신동,328-18,2025-05-30,집합,제2종근린생활,2053.74,,,35000,E_2000_3300,5ee48ac5fec855d2bb4437f192c6ed5f
83,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",인천,28185,연수구,송도동,23-3,2025-11-21,집합,기타,1178.78,,,260000,D_1000_2000,aa8e0b8fed025f5ba4da5045d5e8167b
84,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11170,용산구,동자동,45,2025-05-16,집합,업무,1245.79,,9,2292977,D_1000_2000,2a74b7cb6e7b561493b17f52f0cb4fa3
85,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11650,서초구,반포동,2-8,2025-01-15,집합,판매,3075.63,,,31000,E_2000_3300,a0617686e23b5bcab5d52a8640cdc31e
86,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11140,중구,충무로3가,60-1,2025-02-26,집합,업무,2768.96,,,2135908,E_2000_3300,68c96ecd03565cd5ac758439c1828899
87,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",경기,41465,용인시 수지구,상현동,254-14,2025-12-12,집합,제1종근린생활,1957.84,,,284203,D_1000_2000,329d2f38622e5ccb83f48a213c7bb343
88,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11440,마포구,상암동,1595-1,2025-08-29,집합,제2종근린생활,1555.67,,12,1026000,D_1000_2000,7f3f575b79265ba18e5a35ae412d94f3
89,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11170,용산구,동자동,45,2025-05-16,집합,업무,1263.21,,26,2508786,D_1000_2000,3f3937c485a857f683d6340202f4bdc0
90,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11230,동대문구,신설동,97-8,2025-10-01,집합,제1종근린생활,2436.84,,,214000,E_2000_3300,2f444af6462655f3a3a9b63f6a066c8c
91,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11110,종로구,신문로2가,92,2025-10-20,집합,업무,1253.68,,3,2214487,D_1000_2000,bd6dc8a9fb6c5a89a5d42ba8e801ee10
92,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11140,중구,충무로3가,60-1,2025-02-26,집합,교육연구,2768.96,,,2135908,E_2000_3300,137843b4b4b95d8e84e7483b1ab932d9
93,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11440,마포구,상암동,1595-1,2025-08-29,집합,제2종근린생활,1564.98,,3,1354320,D_1000_2000,f61016775f4853e1a65509652b280dab
94,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",경기,41465,용인시 수지구,상현동,254-14,2025-12-12,집합,기타,1693.27,,,245797,D_1000_2000,8ebdc279be1e58e480e3deb431fc2965
95,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",경기,41465,용인시 수지구,상현동,254-14,2025-12-12,집합,제1종근린생활,1957.84,,,284203,D_1000_2000,3dd260d140a35f2a8cc534dc91665d74
96,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11110,종로구,신문로2가,92,2025-10-20,집합,업무,1253.68,,10,2214487,D_1000_2000,523d0335eee95bbd9ad37d2397577b01
97,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",경기,41390,시흥시,정왕동,1203,2025-01-15,집합,판매,1473.92,,1,7500,D_1000_2000,f29de2635b2c531985cd41431985a2e2
98,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11140,중구,충무로3가,60-1,2025-02-26,집합,업무,2768.96,,,2135908,E_2000_3300,7ae4138159c153fd81bf7ff038d1e325
99,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",경기,41210,광명시,일직동,512-3,2025-06-13,집합,기타,2499.02,,5,1108490,E_2000_3300,07619ec3cfcf5b4eb6f113258dca44a3
100,COLLECTIVE_1000_3300_BOOST,REVIEW_EDGE,"집합건물이나 면적이 1,000㎡ 초과해 대형 호실·복수호실 가능성 존재",서울,11650,서초구,서초동,1446-11,2025-12-22,집합,기타,2701.62,,,870000,E_2000_3300,bdbd9ee36ce45b29a380a3f3d6bccf6e
