theme,quarter,date,publisher,title,url
오피스,2025Q3,2025-07-02,글로벌에픽,"㈜파메어스, 신용산 센트럴파크타워 매입…올해 중 사옥 이전 - 글로벌에픽",https://news.google.com/rss/articles/CBMifEFVX3lxTE1QRFZBamtWXzRxQjFfNjdFYzhvT3pjVEVoNExseDRVQTRILXR1SUZoRm9Qb1BabmZGSVpSR0RLU0hXWkp1MkptdmQ1b2l3YzJ2anREVHFWd1NuRGZNSnJBY21xSk5YaTZXcTZ2Nkg3bWxmbnItTHhzNW5TUDk?oc=5
오피스,2025Q3,2025-07-11,마켓인,"'최고 185억' 용산 유엔사부지 오피스텔, 드디어 베일 벗었다 - 마켓인",https://news.google.com/rss/articles/CBMickFVX3lxTE1Oenp5eFN1aE9WaWFSYWJtd0tIRmZxMzR2YmxQb1FhVS1tXzU3ZmRDeVlIaXJ6Q0RmMEFvTHV5R0hCSVZsNUFyS3Y0MWprS2RRNTVPdy00LXBjUWVNd2NrVW1xSDVUUUVHcXBfQXJTWGc0dw?oc=5
오피스,2025Q3,2025-07-11,v.daum.net,1조 대어 ‘시그니쳐타워’ 매각 눈앞…강남 우량 오피스도 동시 입찰 나서 - v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBId3ZTZU1CbjIyYXBmNlB3NHhFakszMElzWFdBd1RBRlVaVmc1ZUp4WkY2dGVjcmthcFNYNGREbThQdFMwYzJzcFJBcnVQeDQ?oc=5
오피스,2025Q4,2025-10-01,SPI - 상업용 부동산 콘텐츠 & 데이터 애널리틱스,대형화 효과 확실히 누리는 'SK리츠' (부제:증자 없이 판교 오피스 편입) - SPI - 상업용 부동산 콘텐츠 & 데이터 애널리틱스,https://news.google.com/rss/articles/CBMiakFVX3lxTE0wUFdSVXFqMkZ3MVdGa0pfaWhCSER0SkU0NGNEanVlTWttbG0tTXd1RExydDNpV0laUWQ5YUpCUlZma1NOVk53VWtjbjNPQXNvQnJwWkNfM1VKcjdSX096UlRPRW9vMy04MXc?oc=5
오피스,2025Q4,2025-10-01,마켓인,"오피스텔 규제 풀고, 리츠 출자지원…서울시 민간임대 '심폐소생' - 마켓인",https://news.google.com/rss/articles/CBMic0FVX3lxTE4wM1pvdWx4MjJ5VldfSnVrWmFTaE9udEJGRkZsTUVPZ2g5UW1QS2VueUphN3ZrUnEycTZaRGpsbEI4c3AzSngxOHZubm9jV0JzeW1GT0dsaFZVWWtOUF9teDA3UXNHTEtlZUJTMGU2Z1pHbDg?oc=5
오피스,2025Q4,2025-10-05,마켓인,"서울 도심권역 오피스, 공급폭탄 다가온다…2028년 공실률 '12%' 육박 - 마켓인",https://news.google.com/rss/articles/CBMickFVX3lxTE43U3RtUU5RV1lvQ21vTmRQYkg1UC04dUM5bGRBUmpDeUY2eEc0dlhDa3VDZ2JwaVJZUzQzQ2RkM2t6bTJnMXhNRHE3UmRpMERtOEYxQTB3MXU3dVh2R2ZMY1dMc2RIakZtSnpWa05VOVFIUQ?oc=5
물류센터,2025Q1,2025-01-09,Chosunbiz,"‘물류센터 개발’ 용인 남사읍 11만㎡ 땅, 법정관리 들어갔다 - 조선비즈 - Chosunbiz",https://news.google.com/rss/articles/CBMimAFBVV95cUxQTTdhNDI2SUxycjhqa19RRDZrNXJmRXZXMlNwRTI5d0p4MG13aUgxZ0EyajRKSThkNmdwQWk5WVZ4VWs0R2hiVk1xODB1TWlraGJ0aTAzS05UZE02Uzd2clp5VjJmbTdxYUw0dVl2S3pxNWszYTlqTDNkYnUzZVl4eUp1RkJCdHhkTnNHSDNxQzRUTUxoMTFxdtIBrAFBVV95cUxQNGpXWWJ2RGYyVTdNTnJHZEdkX0U3ZWZJaTVxUnpvZUlnV3ZkQXItbHdSWUdFdjh5WUl0QTQzWks2Nk1tWXFvckZUYlgzcUhON0E2QmRoYTVIM0lKN25SX1ZCbms1bWZMMlVReUJIazZSUnAzRWh6NWhIU1l5bno3WFMzZzdCU2p3c2taWGFOTTZ4Z2xHTGpEZzVlX1l3eHl3SHFfVHAwNFRuOUVP?oc=5
물류센터,2025Q1,2025-01-12,중부일보,"양주시 물류센터 건축주 직접 밝혔다… ""지역주민 일자리 창출·세수증대 기여할 것"" - 중부일보",https://news.google.com/rss/articles/CBMib0FVX3lxTFA3NmI3MnJFTWs5aEVmRDlUeFd2TGpQMkNTXy1FS0NOVFNVc3p5R3IzaTlWR2RFSnZhWEJaZGo5LUlxSl9Bbk1aTjhJZjlHMXcyVEx2bzNYTTFFaEZhelBlWkk4ak9rby1kdE9BZ1VRMA?oc=5
물류센터,2025Q1,2025-01-16,연합인포맥스,물류센터 선매입 거부하는 운용사…서울보증보험은 보험사고 우려 - 연합인포맥스,https://news.google.com/rss/articles/CBMicEFVX3lxTE5tVm43RDBpczBPSkx6aHcwMDMwUS1CYmNxYVR1aEdpRGpUUm1YWWI3bWdCalJJSXhsSWFBMWNseUZXX1hUQ2NVb2MxZ0NjOEphTThqMzc1WkN4czFNNnl5d2otMVNEWlBaU1dYdHNqNHI?oc=5
물류센터,2025Q2,2025-04-03,네이트,"DHG운용, 화성 한솔제지 물류센터 750억 PF 주선[fn마켓워치] - 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5VN2lkTmVtTk5rZUF4NE1wallMemVCR05iOV9DazZJOXBxRWlNUXNaaXFSNHdLaWZ3Rk1QMFFmeHFvMmV6dlZaTFVaZm05MElqbDgw?oc=5
