domain,severity,issue_type,fund_id,field,source_column,db_column,source_value,db_value,difference,recommendation,asset_id,asset_code,db_api_enrichment_status,db_building_ledger_source,source_asset_name,db_asset_candidates_for_fund,db_asset_name,relation_type,source_rows,db_rows
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_cbe24d6ebb07,A112584012,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_cbe24d6ebb07,A112584012,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_5afd3f52bd1f,A112584013,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_dd8a51e02785,A112584014,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_dd8a51e02785,A112584014,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_1a611af09927,A112584015,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_1a611af09927,A112584015,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_b5b2968544d4,A112584016,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_b5b2968544d4,A112584016,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_fc066c8daedb,A112584017,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_fc066c8daedb,A112584017,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_cb14a8027ca3,A112584018,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_cb14a8027ca3,A112584018,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_401a2a614838,A112584019,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_401a2a614838,A112584019,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,canonical_name,자산(건물)명,canonical_name,에스와이솔라,이지스일반사모투자신탁435호(태양광),,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_6fbb0d555e87,A112584020,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,address_text,"전체주소(시/도, 구/군 포함)",address_text,부산광역시 강서구 낙동북로 236,대저1동 1619,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_6fbb0d555e87,A112584020,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_6fbb0d555e87,A112584020,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,gross_floor_area,연면적(m²),gross_floor_area,,189,,Physical fields may be API-enriched. Review provenance before overwriting.,ast_6fbb0d555e87,A112584020,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,site_area,토지면적(㎡),site_area,,0,,Physical fields may be API-enriched. Review provenance before overwriting.,ast_6fbb0d555e87,A112584020,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,completion_date,준공(예정)일,completion_date,,2007-05-09,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_6fbb0d555e87,A112584020,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,parking,주차대수,parking,,옥내 0 / 옥외 0,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_6fbb0d555e87,A112584020,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,canonical_name,자산(건물)명,canonical_name,에이치엠솔라1,이지스일반사모투자신탁435호(태양광),,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_db3bfd1b4baf,A112584021,found,BldRgstHubService.getBrTitleInfo,,,,,,
