domain,severity,issue_type,fund_id,field,source_value,db_value,difference,source_rows,db_rows,recommendation
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112625,remaining,3329190776,2591190776,738000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112645,committed,45237000000,44499000000,738000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112645,remaining,7307311857,6569311857,738000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112648,committed,131730300000,129913550000,1816750000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112648,remaining,27892192961,26075442961,1816750000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112657,committed,71825726813,70653956218,1171770595,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112657,remaining,2116413224,944642629,1171770595,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112658,committed,74641050000,73423350000,1217700000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112658,remaining,3488350000,2270650000,1217700000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112659,committed,16888480000,16612960000,275520000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112659,invested,15018380898,15110044656,-91663758,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112659,remaining,1870099102,1502915344,367183758,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112660,committed,7237920000,7119840000,118080000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112660,remaining,-467890165,-585970165,118080000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112662,committed,150790000000,148330000000,2460000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112662,remaining,-44003898212,-46463898212,2460000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112663,committed,45237000000,44499000000,738000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112663,remaining,26200641235,25462641235,738000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112665,committed,582736338,74274518578,-73691782240,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112665,invested,582736338,74274518578,-73691782240,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112667,committed,70931700000,69953450000,978250000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112667,remaining,30679026903,29700776903,978250000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112668,committed,40937724000,40373134000,564590000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112668,remaining,19093081873,18528491873,564590000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112684,committed,75470395000,74239165000,1231230000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112684,remaining,188933711,-1042296289,1231230000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112685,committed,21189764750,20844073250,345691500,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112685,invested,19543454857,19675827924,-132373067,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112685,remaining,1646309893,1168245326,478064567,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112686,committed,9081327750,8933174250,148153500,2,2,Review row-level exposure changes before replacing detail table.
