project_name,primary_asset_id,master_project_id,master_project_code,mission_project_id,mission_project_code_before,mission_project_code_after,payload_fields
부림빌딩,,project_notion_3268ced4-3c47-818c-aed3-daba977f2d26,PRJ-135,project_notion_3258ced4-3c47-81af-974e-eb74e82227b7,,PRJ-135,"metadata,project_code"
아레나스 영종,ast_b9718f8cb5fe,project_notion_3268ced4-3c47-818e-8d7d-c91accb9124b,PRJ-175,project_notion_3258ced4-3c47-81b0-a461-ff2b7a8ff607,,PRJ-175,"metadata,project_code"
트윈트리,,project_notion_3268ced4-3c47-818f-97ad-d0100b70a096,PRJ-39,project_notion_3258ced4-3c47-810e-b90b-d9482afc46e5,,PRJ-39,"metadata,project_code"
삼성중공업 판교R&D센터,ast_156c375e17dc,project_notion_3268ced4-3c47-8190-bf32-fc7d759939c2,PRJ-69,project_notion_3258ced4-3c47-8123-9b77-e65b40d81060,,PRJ-69,"metadata,project_code"
AEW Partners Real Estate Fund X,ast_5c3c9c2755cf,project_notion_3268ced4-3c47-8192-9902-fb2b11578848,PRJ-84,project_notion_3258ced4-3c47-81ed-8a19-fc90ef9a9e18,,PRJ-84,"metadata,project_code"
Nuveen Real Estate U.S. Cities Multifamily Fund,ast_22f2b5989936,project_notion_3268ced4-3c47-8192-b83d-c0ae97a27553,PRJ-193,project_notion_3258ced4-3c47-8107-8ec5-cbecaf705a8d,,PRJ-193,"metadata,project_code"
건대 몰오브케이,,project_notion_3268ced4-3c47-8192-beef-fa0f80199925,PRJ-7,project_notion_3258ced4-3c47-814a-9829-e13bd6cd9b4f,,PRJ-7,"metadata,project_code"
Delaware Logistics Amazon FC,ast_5c591e0531aa,project_notion_3268ced4-3c47-8197-807d-fc8814e4f52f,PRJ-114,project_notion_3258ced4-3c47-81a2-98c6-dc94f2fa35c1,,PRJ-114,"metadata,project_code"
Nuveen Global Real Estate Debt Partners Fund III (UK),ast_a809ac0199e2,project_notion_3268ced4-3c47-819a-828e-c2b0d84b9a29,PRJ-191,project_notion_3258ced4-3c47-8112-a022-e02096b475c3,,PRJ-191,"metadata,project_code"
공주시 공동주택 개발사업,ast_acf1169ec73d,project_notion_3268ced4-3c47-819a-988e-e762b25ab325,PRJ-128,project_notion_3258ced4-3c47-81f1-8acf-fa0dcf911205,,PRJ-128,"metadata,project_code"
삼성동빌딩 (실물우선주),ast_d6b3682a1147,project_notion_3268ced4-3c47-819b-a152-ff2ec283b4f4,PRJ-68,project_notion_3258ced4-3c47-8170-9352-ecf811de25bd,,PRJ-68,"metadata,project_code"
원센티널(舊 신한금융투자타워),,project_notion_3268ced4-3c47-810a-abf1-f69630868445,PRJ-177,project_notion_3258ced4-3c47-81c6-87e2-f77e714dfccd,,PRJ-177,"metadata,project_code"
New York Jackson Park CMBS Loan,ast_4f430ef52910,project_notion_3268ced4-3c47-810e-a029-ce6227606a25,PRJ-187,project_notion_3258ced4-3c47-81a4-931d-fa69bddec6ff,,PRJ-187,"metadata,project_code"
