entity_id,canonical_name,display_name,entity_kind,primary_stakeholder_group_code,primary_stakeholder_type_code,primary_stakeholder_type_name,source_systems,latest_base_date,is_active,notes
SH000032,DB손해보험,DB손해보험,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot,t5t_dashboard",2026-04-13,Y,
SH000033,DB손해보험(본계정),DB손해보험(본계정),organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000034,DB저축은행,DB저축은행,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000035,DB캐피탈,DB캐피탈,organization,financing_partner,lender,금융기관(대주),"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000036,DGB 제1호 펀드,DGB 제1호 펀드,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000037,DGB 제2호 펀드,DGB 제2호 펀드,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000038,DGB 제3호 펀드,DGB 제3호 펀드,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000039,DGB생명보험,DGB생명보험,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000040,DL ENC,DL ENC,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000041,DL건설,DL건설,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000042,DL이앤씨,DL이앤씨,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000043,DMP,DMP,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000044,DNSC,DNSC,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000045,DS네트웍스,DS네트웍스,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000046,DS자산운용,DS자산운용,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000047,Dash Living,Dash Living,organization,strategic_partner,overseas_partner,해외 파트너,t5t_dashboard,2026-04-13,Y,
SH000048,Datapulse Pte.Ltd.,Datapulse Pte.Ltd.,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000049,G9 Asia X. Pte. Ltd.,G9 Asia X. Pte. Ltd.,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000050,GFI,GFI,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000051,GIB홈플러스,GIB홈플러스,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000052,GIC,GIC,organization,capital_partner,institutional_lp,기관투자자(LP),"beneficiary_snapshot,t5t_dashboard",2026-04-13,Y,
SH000053,GS건설,GS건설,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,counterparty_seed",2025-11-30,Y,
SH000054,GS리테일,GS리테일,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000055,Gangnam Asset PTE.LTD,Gangnam Asset PTE.LTD,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000056,HB저축은행,HB저축은행,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000057,HSBC자산운용,HSBC자산운용,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000058,HS화성,HS화성,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000059,I.O.IV,I.O.IV,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000060,IADC2호,IADC2호,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000061,IBK기업은행,IBK기업은행,organization,financing_partner,lender,금융기관(대주),"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000062,IBK연금보험,IBK연금보험,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000063,IBK저축은행,IBK저축은행,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000064,IBK캐피탈,IBK캐피탈,organization,financing_partner,lender,금융기관(대주),"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000065,IBK투자증권,IBK투자증권,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000066,IGIS Asia Data Center 1 Pte. Ltd.,IGIS Asia Data Center 1 Pte. Ltd.,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000067,IOIV,IOIV,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000068,IRE-RE-SA SICAV-SIF,IRE-RE-SA SICAV-SIF,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000069,Icheon REF Pte.Ltd,Icheon REF Pte.Ltd,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000070,Infineon,Infineon,organization,occupier_customer,tenant,임차인,t5t_dashboard,2026-03-22,Y,
SH000071,Invesco,Invesco,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000072,Invesco Investments(Bermuda),Invesco Investments(Bermuda),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
