group_name,counterparty_registered_name,categories,source_systems,project_count_max,source_record_total,latest_base_date,priority_score,importance_level,coverage_note
이지스비즈성장공간플랫폼일반사모부동산투자신탁제1호(Blind),,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
제주은행,,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
중국건설은행,,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
코어플랫폼1호(Blind),,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
하우징플랫폼(Blind),,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
한국투자저축은행,,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
CJ대한통운,씨제이대한통운(주),['?????(LP)'],"beneficiary_snapshot, counterparty_seed",3,2,2025-11-30,32,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=2"
연초생산안정화재단,,['?????(LP)'],beneficiary_snapshot,2,9,2025-11-30,29,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=9"
연합자산관리,,['?????(LP)'],beneficiary_snapshot,2,7,2025-11-30,27,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=7"
다올저축은행,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",2,6,2025-11-30,26,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=6"
DB캐피탈,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",2,4,2025-11-30,24,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=4"
애큐온캐피탈,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",2,4,2025-11-30,24,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=4"
GS건설,지에스건설(주),['?????(LP)'],"beneficiary_snapshot, counterparty_seed",2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
IBK저축은행,,['?????(LP)'],beneficiary_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
SC제일은행,,"['????(??)', 'FI']",lender_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
개인 투자자,,['?????(LP)'],beneficiary_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
모아저축은행,,"['????(??)', 'FI']",lender_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
부산은행,,['?????(LP)'],beneficiary_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
산림조합중앙회,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
우리금융캐피탈,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
우리종합금융,,['?????(LP)'],beneficiary_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
이지스스트래티직일반사모부동산자투자신탁제1호(Blind),,['?????(LP)'],beneficiary_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
이지스일반사모부동산투자신탁제508호,,['?????(LP)'],beneficiary_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
한국지방재정공제회,,['?????(LP)'],beneficiary_snapshot,2,3,2025-11-30,23,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=3"
Actis,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
DL ENC,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
DNSC,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
IBK연금보험,,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
KB국민은행(이지스일반사모부동산투자신탁421호의 신탁업자),,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
KT&G,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
RECO JUNIPER PRIVATE LIMITED,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
"iM캐피탈(구, DGB캐피탈)",,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
개인(김도현),,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
공모,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
농협대주단,,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
뉴익스파트너스,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
동양생명,,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
마크자산운용(주),,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
무궁화신탁,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
미래에셋 주택기금,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
삼성자산운용OCIO,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
삼한교역상사,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
