group_name,group_code,member_entities,source_systems,group_mapping_status,entity_count,role_count,latest_base_date,dominant_stakeholder_type
신협(든솔신용협동조합),group,신협(든솔신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(등촌신용협동조합),group,신협(등촌신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(마포신용협동조합),group,신협(마포신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(무학신용협동조합),group,신협(무학신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(미추홀신용협동조합),group,신협(미추홀신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(방림신용협동조합),group,신협(방림신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(방촌신용협동조합),group,신협(방촌신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(부산거제신용협동조합),group,신협(부산거제신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(부산동래신용협동조합),group,신협(부산동래신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(부산성의신용협동조합),group,신협(부산성의신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(부산시중앙신용협동조합),group,신협(부산시중앙신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(부산장우신용협동조합),group,신협(부산장우신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(부산진신용협동조합),group,신협(부산진신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(부산행복신용협동조합),group,신협(부산행복신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(북동신용협동조합),group,신협(북동신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(북부산신용협동조합),group,신협(북부산신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(북성신용협동조합),group,신협(북성신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(북원신용협동조합),group,신협(북원신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(새서울신용협동조합),group,신협(새서울신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
