entity_role_id,entity_id,canonical_name,stakeholder_group_code,stakeholder_group_name,stakeholder_type_code,stakeholder_type_name,stakeholder_subtype_code,stakeholder_subtype_name,source_system,source_role_label,source_records,project_count,latest_base_date,owner_department,owner_manager,raw_type_label,raw_class_label,t5t_type_name,confidence,status,notes
SH000225-R01,SH000225,기안건축,project_partner,운영/시공 파트너,operator_contractor,운영/시공 파트너,designer,설계사,counterparty_seed,설계사,1,2,,,,설계사,,,0.98,active,https://www.notion.so/33d8ced43c478049b95fe76757317680
SH000226-R01,SH000226,남산드림힐튼제일차,financing_partner,금융 파트너,lender,금융기관(대주),securitized_vehicle,유동화증권,lender_snapshot,대주,1,1,2025-11-30,IOTA TF,한수정,,유동화증권,금융기관(대주),0.95,active,
SH000227-R01,SH000227,남양저축은행,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,상호 저축은행 및 기타 저축기관,beneficiary_snapshot,수익자,3,0,2025-11-30,헤지펀드운용파트,이병윤,전문투자자,상호 저축은행 및 기타 저축기관,기관투자자(LP),0.95,active,
SH000228-R01,SH000228,네오밸류,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리1파트1,정하윤,,,기관투자자(LP),0.8,active,
SH000229-R01,SH000229,넥슨코리아,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리1파트1,김수현,전문투자자,,기관투자자(LP),0.8,active,
SH000230-R01,SH000230,노란우산공제회,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,mutual_aid_association,공제회,beneficiary_snapshot,수익자,1,1,2025-11-30,글로벌펀드운용1,이진희,전문투자자,공제회,기관투자자(LP),0.95,active,
SH000231-R01,SH000231,농업협동조합중앙회,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,조합,beneficiary_snapshot,수익자,7,7,2025-11-30,글로벌펀드운용2,유진선,전문투자자,조합,기관투자자(LP),0.95,active,
SH000232-R01,SH000232,농협(가야농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000233-R01,SH000233,농협(감곡농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
SH000234-R01,SH000234,농협(강내농업협동조합),financing_partner,금융 파트너,lender,금융기관(대주),mutual_finance,상호금융,lender_snapshot,대주,1,1,2025-11-30,자산관리2파트4,임지영,,상호금융,금융기관(대주),0.95,active,
