펀드코드,약칭,펀드명,섹터
112610,439호(2종),이지스일반사모부동산투자신탁제439호(2종),데이터센터
112770,부동산론 2호,이지스부동산론일반사모부동산투자신탁제2호,대출채권
112302,284호,이지스전문투자형사모투자신탁284호, 
112196,184호,이지스전문투자형사모부동산투자신탁184호,호텔
120118,451호(최우선),이지스일반사모부동산투자신탁제451호(최우선),물류
112096,104호,이지스제104호전문투자형사모부동산투자유한회사,오피스
112691,463호(1종),이지스제463호부동산일반사모투자회사(1종),오피스
112405,33호(2종),이지스일반사모부동산투자신탁33호(2종),호텔
300042,그린ON1호(C),이지스그린ON일반사모투자신탁제1호(Class C),기타
120013,524호(1종),이지스일반사모부동산투자신탁제524호(1종),지분증권
112805,439호(B종),이지스일반사모부동산투자신탁제439호(B종),데이터센터
112612,하우징플랫폼1호(1종),이지스하우징플랫폼일반사모부동산투자신탁제1호(1종),지분증권
P00039,P용산라이프,용산라이프시티PFV, 
200038,577호,이지스DWS유럽인프라일반사모투자신탁제577호,역외재간접
R00014,R타임워크기업구조조정,주식회사타임워크웨스트기업구조조정부동산투자회사, 
112122,105호(C2),이지스전문투자형사모부동산투자신탁105호 (Class C2), 
120046,코어인프라1호(1종),이지스코어에너지인프라일반사모투자신탁제1호(1종),특별자산
120038,국내PF재구조화1-1호(모),이지스국내PF재구조화 일반사모부동산모투자신탁 제1-1호,NPL
112417,336호(3종),이지스전문투자형사모부동산투자신탁제336호 (3종), 
112102,98-1호,이지스미국일반사모부동산자투자신탁98-1호,오피스
112736,라이징K리츠(S),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)S class,지분증권
112311,287호,이지스리테일부동산투자신탁287호,리테일
300056,그린ON3호(C-i),이지스그린ON일반사모투자신탁제3호(Class C-i),기타
120027,451호(3종),이지스일반사모부동산투자신탁제451호(3종),물류
112309,293호,이지스전문투자형사모투자신탁293호,특별자산
112053,54호,이지스사모부동산투자신탁54호,주거
112216,204호(A),이지스글로벌부동산투자신탁204호 (파생형) Class A,오피스
112532,409호,이지스일반사모부동산투자신탁409호(운용),복합(오피스)
200040,561호,이지스아디안인프라세컨더리일반사모투자신탁561호,역외재간접
112199,196호,이지스부동산투자신탁196호,복합(오피스)
112561,424호,이지스제424호전문투자형사모부동산투자회사(운용),오피스
112271,248호(1종),이지스일반사모부동산투자신탁248호(1종),오피스
112019,17-1호,이지스KORIF사모부동산투자신탁17-1호,오피스
112237,스트래티직 1호,이지스스트래티직일반사모부동산자투자신탁제1호,복합(오피스)
