펀드코드,펀드명,AUM(약정),대주정보,수익자정보,자산정보
112659,466-1호,16116800000,X,O,O
300037,블루ON1호,16000000000,X,O,O
P00031,P수택센트럴,16000000000,X,X,O
300019,인컴플러스2호,15500000000,X,O,O
112583,417-2호,15412433115,X,O,O
120048,코어인프라1-A호,15300000000,X,O,O
120018,랜드플랫폼1-2호,14853600000,X,X,X
300017,공모주2호,14462498053,X,X,O
112641,454호,14100000000,X,O,O
R00006,R데이터센터,14070451630,X,X,O
200029,아시아인프라1호,13977404400,X,O,O
300050,멀티드래곤4호,13903849353,X,O,O
112478,206-1호,13898742619,X,O,O
300057,멀티플러스2호(운용),13300000000,X,O,O
300044,코스닥벤처2호,12999190219,X,O,O
P00009,P효제아트,12000000000,X,O,O
300011,올인원K리츠,11815893392,X,X,O
300001,인컴플러스1호,11619642212,X,O,O
300052,멀티드래곤5호,11500000000,X,O,O
300046,B-프런티어1호,11443877996,X,O,O
112744,공모주일반사모1호,11326292030,X,O,O
300074,코스닥벤처3호,11000000000,X,O,O
112425,고배당리츠,10688032087,X,O,O
300032,하이일드2호,10682356798,X,X,X
112474,384호,10307990631,X,X,O
P00017,P천안성성동,10300003000,X,O,O
112781,K본드알파1호,10239630498,X,X,X
300018,멀티드래곤1호,10200000000,X,O,O
200002,521-2호,10171335510,X,O,O
300010,다이나믹글로벌2호,10000000000,X,X,X
112114,120호,10000000000,X,O,O
P00038,애월PFV,10000000000,X,X,O
112564,다이나믹글로벌리츠1호,10000000000,X,X,X
112782,멀티플러스1호,9000000000,X,X,X
112686,469-2호,8666377500,X,O,O
112629,리츠플랫폼,7831773309,X,O,O
200021,세컨더리5호,7195000000,X,O,O
120023,애월엔터,7000000000,X,X,O
112660,466-2호,6907200000,X,O,O
120031,랜드플랫폼1-3호,6866666000,X,O,X
300063,K-프런티어1호,6843357518,X,X,O
112661,462호,6600000000,X,O,O
112260,셀렉리츠1호,5613353783,X,O,O
200019,세컨더리4호,5338690000,X,O,O
300016,멀티인컴5호,4827586216,X,O,O
120017,534호,4500000000,X,O,O
112451,362호,3018000000,X,O,O
300051,BDC1호,2999961788,X,X,O
112626,투자풀11호,2326453752,X,O,O
112704,475호,600000000,X,X,O
120106,130-4호,0,X,X,O
190006,542호(1종),0,X,X,O
120011,263호(3종),0,X,X,O
112130,116-3호,0,X,X,O
112272,248호(2종),0,X,X,O
112262,셀렉리츠1호(C-I),0,X,X,O
112439,고배당리츠(S),0,X,X,O
112430,고배당리츠(C-e),0,X,X,O
112569,KDCIP 1호,0,X,O,O
120107,130-5호,0,X,X,O
112339,300호(1종),0,X,X,O
P00040,P산하아이에프피,0,X,X,O
200045,580호,0,X,X,O
R00002,R수익형319호,0,X,X,X
376,합계,0,X,X,X
112192,163-1호,0,X,O,O
112779,502호(1종),0,X,O,O
200038,577호,0,X,O,O
112707,421호(B종),0,X,X,O
P00039,P용산라이프,0,X,X,O
112498,389호(3종),0,X,X,O
112805,439호(B종),0,X,X,O
112682,468-1호,0,X,O,O
300042,그린ON1호(C),0,X,X,X
112774,508호(운용),0,X,X,O
