entity_key,entity_type,entity_id,display_title,display_subtitle,source_table,source_id,confidence,status,metadata_json
project:project_notion_3258ced4-3c47-81d7-9f1b-c67b57b58026,project,project_notion_3258ced4-3c47-81d7-9f1b-c67b57b58026,"Sanofi 본사(파리) 대출, Bell 본사(몬트리올) 대출, OJP사옥(워싱턴) 대출",Project | 설정 후,projects,project_notion_3258ced4-3c47-81d7-9f1b-c67b57b58026,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d8-9309-e2027aadb259,project,project_notion_3258ced4-3c47-81d8-9309-e2027aadb259,인사동 D호텔 LTE,Project | 신규 검토 (입찰/심의 전),projects,project_notion_3258ced4-3c47-81d8-9309-e2027aadb259,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d8-b179-d43fa8bbe452,project,project_notion_3258ced4-3c47-81d8-b179-d43fa8bbe452,김포 데이터센터 개발사업,PRJ-6 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81d8-b179-d43fa8bbe452,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d8-ba67-d55c38838e6a,project,project_notion_3258ced4-3c47-81d8-ba67-d55c38838e6a,CJ그룹 업무협약추진,Mission,projects,project_notion_3258ced4-3c47-81d8-ba67-d55c38838e6a,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d9-92e7-ddcbebd26b54,project,project_notion_3258ced4-3c47-81d9-92e7-ddcbebd26b54,CJ제일제당센터,PRJ-44 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81d9-92e7-ddcbebd26b54,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d9-a424-cbaacc9820f5,project,project_notion_3258ced4-3c47-81d9-a424-cbaacc9820f5,글로벌 부동산 동향,Mission,projects,project_notion_3258ced4-3c47-81d9-a424-cbaacc9820f5,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d9-bd6b-cf85190615ef,project,project_notion_3258ced4-3c47-81d9-bd6b-cf85190615ef,"Pantheon Viking Co-Invest LP, NMP V",PRJ-195 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81d9-bd6b-cf85190615ef,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81da-956e-e833fece1802,project,project_notion_3258ced4-3c47-81da-956e-e833fece1802,"Albany, Cleveland, Omaha BTS Logistics",PRJ-110 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81da-956e-e833fece1802,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81da-a655-da2a3840bda0,project,project_notion_3258ced4-3c47-81da-a655-da2a3840bda0,Credit Business Launching,Mission,projects,project_notion_3258ced4-3c47-81da-a655-da2a3840bda0,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81db-a6a1-f4bb210ef6a0,project,project_notion_3258ced4-3c47-81db-a6a1-f4bb210ef6a0,부산 센텀 주차장부지개발,Project | 신규 검토 (입찰/심의 전),projects,project_notion_3258ced4-3c47-81db-a6a1-f4bb210ef6a0,1.0,confirmed,{}
