asset_id,canonical_name,pnu,source_asset_id,source_kind,fill_fields,fill_count,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,applied_fields,new_gross_floor_area,new_completion_date
ast_2e88e9b329e3,이지스200호(디어스 판교),4113111500103210000,ast_c6d650564064,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,22591.5,49.800677,227.30261,업무시설,철골철근콘크리트구조,8,옥내 635 / 옥외 0,42.9,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_65fb39722de4,구리시 수택동 주거용 오피스텔,4131010500103700000,ast_ee5b4d0511ec,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,1956.6,47.38,94.76,제1종근린생활시설,철근콘크리트구조,2,옥내 0 / 옥외 23,0.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_f7c124b0485b,여주쿠팡물류센터,4167011500102040003,ast_8f4a16aa66fa,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,28879.0,37.8678,76.7048,물류,철골철근콘크리트합성구조,4,옥내 0 / 옥외 110,26.47,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_718a6d8b52dc,이지스151호(더샵 부평),2823710200102160000,ast_ec5c572ce8a7,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,4094.0,23.15,399.68,주거,철근콘크리트구조,22,옥내 71 / 옥외 42,61.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_b60bc5039d9c,삼성중공업판교R&D센터,4113510900106150000,ast_156c375e17dc,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,24661.49,4.7,397.65,기타(교육),철골철근콘크리트구조,8,400,42.025,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_ab4857d97964,양산 유산동 물류센터,4833011100105090000,ast_4a2972f3fd4f,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,23945.6,60.0,129.61,창고시설,프리케스트콘크리트구조,3,옥내 97 / 옥외 43,32.69,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_3c022176b9c4,천안성성7지구공동주택,4413310500103660003,ast_8bd8d91c9bb8,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,0.0,0.0,주거,일반철골구조,1,옥내 0 / 옥외 13,7.7,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_89f1f1989a34,구리시 수택동 주거용 오피스텔,4131010500103700000,ast_ee5b4d0511ec,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,1956.6,47.38,94.76,제1종근린생활시설,철근콘크리트구조,2,옥내 0 / 옥외 23,0.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_ee89bc12bfd3,인천석남물류센터,2826011000102240008,ast_0920c9043185,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,54193.0,5.09,359.96036,물류,프리케스트콘크리트구조,8,옥내 1093 / 옥외 30,79.87,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_9493e4e1b242,두동 LG전자 통합물류센터,4812916100118750000,ast_9bedafe14895,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,47028.9,67.87,116.03,물류센터,철근콘크리트구조,4,옥내 0 / 옥외 185,25.6,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_3378eefd074e,대전 둔산파이낸스빌딩,3017011200114130000,ast_e547d4e384c5,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,1988.3,78.2901,1215.0925,오피스,철골철근콘크리트구조,17,옥내 278 / 옥외 0,64.8,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",36207500.0,
ast_11eaa23e7e07,애월 복합관광단지 개발,5011025331100170006,ast_8870b9567bcd,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,0.0,0.0,동물및식물관련시설,경량철골구조,1,옥내 0 / 옥외 0,3.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
