asset_id,asset_code,canonical_name,proposed_physical_asset_name,proposed_non_physical_label,linked_fund_short_names,asset_type,asset_kind,review_status,has_address,has_pnu,cleanup_action,cleanup_reason
ast_124d02c64658,A190001001,은평 시니어리빙 복합시설 개발,은평 시니어리빙 복합시설 개발,,,오피스복합,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_6d43f949aadc,A190005001,가산 임대형기숙사개발사업,가산 임대형기숙사개발사업,,,주거,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_ecc1f7608e99,A120102001,이지스용산PF재구조화일반사모1호(2종),이지스용산PF재구조화일반사모1호(2종),,,오피스복합,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_91e7a3c81910,A190013001,포천정교리물류센터,포천정교리물류센터,,,물류센터,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_76b291b30aae,A190002001,분당야탑물류센터,분당야탑물류센터,,,물류센터,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_7e3205174267,A190008001,이태원동 133-17 외 2필지,이태원동 133-17 외 2필지,,,리테일,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_c67fa13e0d92,A190010001,이지스일반사모426호(1종),이지스일반사모426호(1종),,,물류센터,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_f230c76d6975,A112710001,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",,"공모주/노트/채권 · 멀티인컴1호, 라이징K리츠, 올인원K리츠 외 2","멀티인컴1호, 라이징K리츠, 올인원K리츠, 멀티인컴5호, 그린ON1호",,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_1bf3c754cc2c,A112718001,LA Wilshire Grand Center Senior Loan,LA Wilshire Grand Center Senior Loan,,"398호, 485호",,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_f812fe4f71e8,A112722001,"국내 상장 리츠, 상장 인프라펀드, 채권형 펀드",,노트/채권 · A112722001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_3a760d38807f,A112740001,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",,"공모주/노트/채권 · 멀티인컴2호, 멀티인컴2호(A), 멀티인컴2호(C) 외 1","멀티인컴2호, 멀티인컴2호(A), 멀티인컴2호(C), 멀티인컴2호(C-I)",,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_62dfd826ce2e,A112744001,"공모주, 스팩",,"공모주 · 공모주1호, 공모주2호","공모주1호, 공모주2호",,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_ff8814218ffe,A112720001,부천카스퀘어담보대출,부천카스퀘어담보대출,,,특별자산,physical_asset,verified,Y,Y,review_financial_name_with_physical_evidence,"physical evidence exists, but name contains loan/security terms"
