domain,severity,issue_type,asset_id,asset_code,field,source_column,db_column,source_value,db_value,difference,db_api_enrichment_status,db_building_ledger_source,recommendation,provenance_bucket
asset_master,review,asset_field_change_candidate,ast_b5b13984b5c2,A112149001,site_area,토지면적(㎡),site_area,,161812,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_b5b13984b5c2,A112149001,parking,주차대수,parking,,옥내 0 / 옥외 0,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_9a70bf0b0afd,A112153001,site_area,토지면적(㎡),site_area,,726,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_9a70bf0b0afd,A112153001,parking,주차대수,parking,,옥내 0 / 옥외 1,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_25028177c0ce,A112154002,gross_floor_area,연면적(m²),gross_floor_area,,8544,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_25028177c0ce,A112154002,site_area,토지면적(㎡),site_area,,906,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_25028177c0ce,A112154002,parking,주차대수,parking,,옥내 0 / 옥외 132,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_9855c32af978,A112160001,site_area,토지면적(㎡),site_area,,8247,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_9855c32af978,A112160001,parking,주차대수,parking,,옥내 273 / 옥외 14,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_25e1a4cc6c6f,A112163001,gross_floor_area,연면적(m²),gross_floor_area,,32799,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
