relationship_status,asset_name,fund_name,project_name,asset_address,fund_asset_name,asset_kind,asset_type,fund_status,project_status,missing_parts,asset_id,fund_id,project_id,fund_short_name,fund_sector,project_type,fund_relation_type,project_relation_type,fund_exposure_role,fund_directness,fund_relation_confidence,project_relation_confidence,fund_lookup_status,project_lookup_status,project_lookup_source,fund_relation_source_table,fund_relation_source_id,project_relation_source_table,project_relation_source_id,asset_review_status,asset_source_confidence
missing_one_or_more_names,"Pantheon Viking Co-Invest LP, NMP V",,,,,physical_asset,,,,fund_name; project_name,ast_1139d23fa5d7,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,서영빌딩,,,경기도 성남시 분당구 수내동 6-3,,physical_asset,오피스,,,fund_name; project_name,ast_115f3c3277d4,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,신도림핀포인트,,,서울특별시 구로구 신도림동 337,,physical_asset,오피스,,,fund_name; project_name,ast_11888bd81598,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,덕평CJ물류센터,,,경기도 이천시 호법면 매곡리 118-2,,physical_asset,물류센터,,,fund_name; project_name,ast_11919c561605,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,진이엔지,이지스일반사모투자신탁435호(태양광),,충청북도 진천군 문백면 평산리 산 54,"다산1, 동서발전, 진이엔지, 현대산업쏠라5호, 케이앤스틸테크놀로지, 리에너지, 지우태양광, 에스지, 케이앤씨벨에포크, 케이에이치테크단북1호, 미션, 윈즈에너지, 이큐에너지, 소망, 청수, 봉산햇빛, 행암에너지일호, 도원에너지, 솔빛에너지, 에스와이솔라, 에이치엠솔라1, 이에스에이치12, 지티씨솔라13호, 강구16호, 외삼1호, 외삼2호, 솔라트리1호, 김송하, 에스이피브, 케이앤씨헤르메스, 모두에너지, 솔라팩토리10호, 씨에스에너텍, 알이씨에너지, 알이엔네트웍스, 어량리, 비케이솔라, 와이알에너지, 유현그린, 케이앤씨그린북, 디앤피상주, 적화솔라, 솔라시너지햇빛1호, 이인메가태양광, 솔라팩토리22호, 솔라팩토리19호",physical_asset,,운용,,project_name,ast_119638464007,112584,,435호,특별자산,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58413,,,verified,0.94
missing_one_or_more_names,애월 복합관광단지 개발,,,제주시 애월읍 상가리 17-6 번지 일원,,physical_asset,오피스복합,,,fund_name; project_name,ast_11eaa23e7e07,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,홈플러스금천점,,,서울특별시 금천구 독산동 291-7,,physical_asset,리테일,,,fund_name; project_name,ast_122d47e0ef63,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,청담펜트하우스,,,서울시 강남구 청담동 129,,physical_asset,주거,,,fund_name; project_name,ast_12357627ab53,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,은평 시니어리빙 복합시설 개발,,,서울특별시 은평구 진관동 160 번지 일원,,physical_asset,오피스복합,,,fund_name; project_name,ast_124d02c64658,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,이지스151호(더샵 부평),,,인천시 부평구 십정동 216번지 일원,,physical_asset,,,,fund_name; project_name,ast_1267a3bda5d2,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,"국내 상장 리츠,  인프라 펀드,  주식, ETF",,,,,physical_asset,,,,fund_name; project_name,ast_1283cae9910d,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,성남제이씨에너지,이지스일반사모투자신탁377호,,전라북도 남원시 대산면 신계리 산429-98,"환성2호태양광발전소, 환성3호태양광발전소, 예지안빛에너지, 장춘3호태양광발전소, 하늘별빛에너지태양광발전소, 해누리7호태양광발전소, 천리에너지2호태양광발전소, 엠아이에너지태양광발전소, 한국쏠라알피에스태양광발전소, 솔라팜1호, 솔라팜2호, 삼산태양광발전소, 맥스에너지하리태양광발전, 맥스에너지금성태양광발전, 제이에스금계태양광발전, 지동쏠라에너지태양광발전, 성남제이씨에너지, 선그린에너지, 일순에너지, 스카이에너지, 에이스쏠라, 디앤피옥연, 디앤피영천신기, 곡성, 케이앤씨해바라기, 케이앤씨솔라리아, 호니파워, 에스디일호, 에스플래닛삼십사호, 아인에너지, 제이피에너지",physical_asset,,운용,,project_name,ast_12910bc887e1,112466,,377호,특별자산,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58277,,,verified,0.94
