entity_type,entity_id,token_type,search_text,search_key,display_text,related_asset_id,related_fund_id,related_project_id,result_behavior,source
fund,112521,fund_short_name,348-1호,3481호,이지스글로벌코어인프라일반사모특별자산투자신탁348-1호(재간접형),ast_db5ed66e1434,112521,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_fund_drawer,funds.short_name
project,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112521,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_project_drawer,actual_projects.project_name
project_context,112413,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112521,112413,open_context_drawer,funds.project_mission_name
project_context,112521,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112521,112521,open_context_drawer,funds.project_mission_name
project_context,112607,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112521,112607,open_context_drawer,funds.project_mission_name
project_context,112684,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112521,112684,open_context_drawer,funds.project_mission_name
asset,ast_db8623f6f559,asset_name,에스엔에스랩,에스엔에스랩,에스엔에스랩,ast_db8623f6f559,120017,project_notion_3258ced4-3c47-8186-b4df-eb1233f81313,open_asset_drawer,project_name_cleanup_basis.final_asset_name
fund,120017,fund_name,이지스일반사모투자신탁534호,이지스일반사모투자신탁534호,이지스일반사모투자신탁534호,ast_db8623f6f559,120017,project_notion_3258ced4-3c47-8186-b4df-eb1233f81313,open_fund_drawer,funds.fund_name
fund,120017,fund_short_name,534호,534호,이지스일반사모투자신탁534호,ast_db8623f6f559,120017,project_notion_3258ced4-3c47-8186-b4df-eb1233f81313,open_fund_drawer,funds.short_name
project,project_notion_3258ced4-3c47-8186-b4df-eb1233f81313,project_or_business_label,에스엔에스랩,에스엔에스랩,에스엔에스랩,ast_db8623f6f559,120017,project_notion_3258ced4-3c47-8186-b4df-eb1233f81313,open_project_drawer,actual_projects.project_name
project_context,120017,project_or_business_label,에스엔에스랩,에스엔에스랩,에스엔에스랩,ast_db8623f6f559,120017,120017,open_context_drawer,funds.project_mission_name
asset,ast_db8fd17c8890,asset_name,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112133,112132,open_asset_drawer,project_name_cleanup_basis.final_asset_name
fund,112133,fund_name,이지스코어리테일부동산투자신탁126호(Class A),이지스코어리테일부동산투자신탁126호,이지스코어리테일부동산투자신탁126호(Class A),ast_db8fd17c8890,112133,112132,open_fund_drawer,funds.fund_name
fund,112133,fund_short_name,126호(A),126호,이지스코어리테일부동산투자신탁126호(Class A),ast_db8fd17c8890,112133,112132,open_fund_drawer,funds.short_name
project_context,112132,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112133,112132,open_context_drawer,funds.project_mission_name
address,ast_db8fd17c8890,address_region,전북특별자치도,전북특별자치도,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112133,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,전주시,전주시,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112133,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,완산구,완산구,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112133,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,효자동1가,효자동1가,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112133,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,전북특별자치도 전주시,전북특별자치도전주시,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112133,112132,open_asset_drawer,asset_address.region_token
project_context,112133,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112133,112133,open_context_drawer,funds.project_mission_name
project_context,112134,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112133,112134,open_context_drawer,funds.project_mission_name
asset,ast_db8fd17c8890,asset_name,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112132,112132,open_asset_drawer,project_name_cleanup_basis.final_asset_name
fund,112132,fund_name,이지스코어리테일부동산투자신탁126호,이지스코어리테일부동산투자신탁126호,이지스코어리테일부동산투자신탁126호,ast_db8fd17c8890,112132,112132,open_fund_drawer,funds.fund_name
fund,112132,fund_short_name,126호,126호,이지스코어리테일부동산투자신탁126호,ast_db8fd17c8890,112132,112132,open_fund_drawer,funds.short_name
project_context,112132,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112132,112132,open_context_drawer,funds.project_mission_name
address,ast_db8fd17c8890,address_region,전북특별자치도,전북특별자치도,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112132,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,전주시,전주시,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112132,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,완산구,완산구,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112132,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,효자동1가,효자동1가,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112132,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,전북특별자치도 전주시,전북특별자치도전주시,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112132,112132,open_asset_drawer,asset_address.region_token
project_context,112133,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112132,112133,open_context_drawer,funds.project_mission_name
project_context,112134,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112132,112134,open_context_drawer,funds.project_mission_name
asset,ast_db8fd17c8890,asset_name,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112134,112132,open_asset_drawer,project_name_cleanup_basis.final_asset_name
fund,112134,fund_name,이지스코어리테일부동산투자신탁126호(Class C-i),이지스코어리테일부동산투자신탁126호,이지스코어리테일부동산투자신탁126호(Class C-i),ast_db8fd17c8890,112134,112132,open_fund_drawer,funds.fund_name
fund,112134,fund_short_name,126호(C-i),126호,이지스코어리테일부동산투자신탁126호(Class C-i),ast_db8fd17c8890,112134,112132,open_fund_drawer,funds.short_name
project_context,112132,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112134,112132,open_context_drawer,funds.project_mission_name
address,ast_db8fd17c8890,address_region,전북특별자치도,전북특별자치도,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112134,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,전주시,전주시,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112134,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,완산구,완산구,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112134,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,효자동1가,효자동1가,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112134,112132,open_asset_drawer,asset_address.region_token
address,ast_db8fd17c8890,address_region,전북특별자치도 전주시,전북특별자치도전주시,홈플러스전주효자점 · 전북특별자치도 전주시 완산구 효자동1가 431-5,ast_db8fd17c8890,112134,112132,open_asset_drawer,asset_address.region_token
project_context,112133,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112134,112133,open_context_drawer,funds.project_mission_name
project_context,112134,project_or_business_label,홈플러스전주효자점,홈플러스전주효자점,홈플러스전주효자점,ast_db8fd17c8890,112134,112134,open_context_drawer,funds.project_mission_name
