project_display_class,asset_id,final_asset_name,asset_semantics,fund_id,final_fund_name,fund_name_status,project_id,current_project_name,project_display_name_candidate,project_display_name_source,project_display_kind,project_id_is_actual_project,project_id_is_pseudo_fund_context,project_name_contains_asset,project_name_contains_fund,project_name_has_purpose_word,project_name_vehicle_like,suggested_display_behavior
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112412,이지스NPL전문투자형사모부동산투자신탁제2-2호,fund_name_verified,112603,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
missing_project_relationship,ast_0c50fdc60ef8,이지스333호(홍대 코리빙 복합시설),physical_asset,,,missing_fund_relationship,,,이지스333호(홍대 코리빙 복합시설),derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0c68bbfd7099,제주 연동 오피스텔,physical_asset,,,missing_fund_relationship,,,제주 연동 오피스텔,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0d034e04e91f,홈플러스 대전문화점 (투자),physical_asset,112344,이지스코어리테일부동산투자신탁302호(운용),fund_name_verified,,,홈플러스 대전문화점 (투자) / 이지스코어리테일부동산투자신탁302호(운용),derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0d20df513bd5,분당야탑물류센터,physical_asset,,,missing_fund_relationship,,,분당야탑물류센터,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0d67a2c2d304,아이에이제십사차유동화전문 유한회사,physical_asset,112602,이지스NPL일반사모부동산투자신탁제3호,fund_name_verified,,,아이에이제십사차유동화전문 유한회사 / 이지스NPL일반사모부동산투자신탁제3호,derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0d7b28ca87e1,성수동 오피스 개발사업 선순위 브릿지론,physical_asset,112666,이지스부동산론일반사모부동산투자신탁제1호,fund_name_verified,,,성수동 오피스 개발사업 선순위 브릿지론 / 이지스부동산론일반사모부동산투자신탁제1호,derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0db517682813,외삼2호,physical_asset,112584,이지스일반사모투자신탁435호(태양광),fund_name_verified,,,외삼2호 / 이지스일반사모투자신탁435호(태양광),derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0dba05706295,판교아이스퀘어E동,physical_asset,,,missing_fund_relationship,,,판교아이스퀘어E동,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0dc44d526fb4,종로타워,physical_asset,,,missing_fund_relationship,,,종로타워,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
