fund_id,short_name,fund_name,vehicle_type,holding_type,fund_form,multi_class_type,aum_inclusion_flag,status,aggregate_asset_names,aggregate_beneficiary_names,aggregate_lender_names,source_row_number,row_hash
112725,라이징K리츠(A-G),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)A-G class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,712,50c68c714a1031290a70f810eab4eb52eac5607c3facdd453b485d73de6a1c60
112726,라이징K리츠(C),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,713,6ab0a037357399fab82b62238b2c5db5e6f865324181c87923fba24ea8b161e5
112727,라이징K리츠(C-e),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-e class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,714,7f61406958f5b1594dbb5e5557da41f4d2a511dc4d74a14ba6517c71e461fbb6
112728,라이징K리츠(C-G),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-G class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,715,c3a6b8e84800dce572c5afed27e3f5af68fda51b4a8214cf3b4e24927cc54027
112729,라이징K리츠(C-F),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-F class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,716,d793f8373192c2361485935ada30d5ad924b2ab78abc764acf6ddb820da7e608
112730,라이징K리츠(C-I),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-I class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,717,ce941fd6ac8700860b11621ed256edeadc587414f9cf7b81ff67ee23cb5cf00a
112731,라이징K리츠(C-P),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-P class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,718,b849a5ecdb64ed400a4210dde0d67f4fbed2b4c004a71275a6579c6ab32acd45
112732,라이징K리츠(C-Pe),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-Pe class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,719,f7c08859b05b2849ec8e85060bb00fa89610c3cf2743d099505432830242b640
112733,라이징K리츠(C-P2),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-P2 class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,720,927460dd48ee8ece1ede34b6696bd9d46b19f2c0dca66527c72c3cf1b060a742
112734,라이징K리츠(C-P2e),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-P2e class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,721,78bfe27d4df323d14c452c3bd939fad563b95f3cd9aca158c179530e01d44977
112735,라이징K리츠(C-W),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-W class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,722,168e2a1c32431d7d634c8e46abcb41aaf259aedaefaa80976986a134881f0590
112736,라이징K리츠(S),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)S class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,723,0fc8f0bbc837738d8e065b94408a4c966abed94d58261686047d73d158a65f84
112737,라이징K리츠(S-P),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)S-P class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,724,8ec72ba98ea91c28abd22d74a7588febc6b9a4aa9c88e87551c8c2d5c0750bd7
112738,라이징K리츠(S-P2),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)S-P2 class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,725,5185e12e43067a1d2f7a7be0fe5788608aa61fd6d23b3a3e79b35408582b680a
112739,487호,이지스아폴로유럽디스트레스일반사모투자신탁487호,Fund,일반펀드,일반펀드,일반,Y,운용,Apollo European Principal Finance Fund IV,"APO Corp, DB손해보험",,726,031bc99777bad2273bc927759c12068a67f31d6bacd179db7aee068624b966aa
112740,멀티인컴2호,이지스 멀티인컴 일반사모투자신탁 제2호(운용),Fund,모펀드,멀티클래스(운용),클래스,Y,청산,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩","연초생산안정화재단, 엽연초생산협동조합중앙회, 푸른저축은행",,727,40ee24c38a48989501ddf77f2a1aaa7b23a8da30d5b9f2e0c039e08c217c05cc
112741,멀티인컴2호(A),이지스 멀티인컴 일반사모투자신탁 제2호 Class A,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,728,1edf69fefce2e5a9b78afe59bbe70c8e791b1cf181a0314d0e61d16c2dff6e05
