asset_id,canonical_name,pnu,status,missing_fields,fill_fields,item_count,selected_mgm_bldrgst_pk,new_floors_down,new_elevators,applied,new_completion_date,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,new_gross_floor_area
ast_82cde1ed5a30,잠실새내 오피스텔 신축사업,1171010100101830012,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10251100551962,3,3,True,,,,,,,,,,
ast_c9cb9c4a7013,홈플러스 전주완산점,5211112000104950006,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,118619729,2,2,True,,,,,,,,,,
ast_c7f4cc2c568d,충북 청주시 서원구 잠두봉근린공원 공동주택 개발사업 PF 대출채권,4311210700200220000,found,"floors_down,elevators,completion_date","floors_down,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",2,115212000208733,0,,True,2020-07-30,,,,,,,,,
ast_7530c5363c92,동산물류센터,4150033025109770005,found,"floors_down,elevators,completion_date","floors_down,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,11211100264853,1,,True,2017-09-27,,,,,,,,,
ast_58653579359f,경산 쿠팡물류센터,4729025330109030000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1000000000000004253852,2,5,True,,,,,,,,,,
ast_c0ac2f0648ba,남악신도시 복합쇼핑몰,4684025622126220000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,12181100227977,0,10,True,,,,,,,,,,
ast_f11894da692a,우덕빌딩,1168010100108320002,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1000000000000007189859,7,11,True,,2954.5,59.345,1007.904,업무시설,철근콘크리트구조,37,옥내 269 / 옥외 0,132.873,
ast_25028177c0ce,화양동 도시형생활주택,1121510700101160002,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10061100251470,3,3,True,,906.0,59.73,753.36,공동주택,철근콘크리트구조,20,옥내 0 / 옥외 132,88.58,8543.663
ast_7cfadd3adb65,타임워크명동,1114012600100590005,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,100315109,4,10,True,,4240.42,67.198768,674.68411,업무시설,철골철근콘크리트구조,19,옥내 98 / 옥외 0,72.02,
ast_4e9c841b327e,와이플러스빌딩,1168010700105330003,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1024120335,1,1,True,,,,,,,,,,
